id_agresor,sexo_agre,edad_agre,r_fam_vic,conv_agre,r_nofiliar,zona_conf,armas
AGR_000386,M,16,7,2,,2,
AGR_000387,M,17,3,2,,2,
AGR_000388,M,30,15,2,,2,
AGR_000389,M,40,5,2,,2,
AGR_000390,M,60,14,2,,2,
AGR_000391,M,99,21,2,,2,
AGR_000392,M,30,6,2,,2,3
AGR_000393,F,22,2,1,,2,4
AGR_000394,F,45,2,1,,2,3
AGR_000395,F,31,2,1,,2,4
AGR_000396,F,16,13,1,,2,4
AGR_000397,M,22,22,2,,2,
AGR_000398,M,30,,,,1,
AGR_000399,M,99,22,2,,2,4
AGR_000400,M,99,22,2,,2,3
AGR_000401,M,52,23,,,2,
AGR_000402,M,40,15,1,,2,
AGR_000403,M,30,23,2,,2,
AGR_000404,M,30,3,2,,2,3
AGR_000405,F,33,13,2,,2,
AGR_000406,M,10,23,2,,1,
AGR_000407,M,27,8,2,,2,
AGR_000408,M,16,3,1,,2,
AGR_000409,M,40,9,,,2,
AGR_000410,M,75,1,1,,2,15
AGR_000411,M,90,,,,2,11
AGR_000412,F,47,10,1,,2,3
AGR_000413,M,32,2,1,,2,1
AGR_000414,M,22,19,2,,2,15
AGR_000415,F,0,23,2,,2,15
AGR_000416,M,0,22,1,,1,15
AGR_000417,M,0,23,1,,2,4
AGR_000418,F,2,25,2,9,2,3
AGR_000419,M,56,1,1,,2,3
AGR_000420,F,28,2,1,,2,3
AGR_000421,F,25,10,1,,2,15
AGR_000422,M,27,2,1,,2,
AGR_000423,F,18,10,1,,2,
AGR_000424,M,24,2,1,,2,3
AGR_000425,M,16,13,2,,2,
AGR_000426,M,28,3,2,,2,
AGR_000427,M,32,3,2,,2,4
AGR_000428,M,27,22,2,,2,
AGR_000429,M,43,2,1,,2,3
AGR_000430,M,85,14,1,,2,
AGR_000431,F,13,23,2,,2,
AGR_000432,M,50,9,1,,2,3
AGR_000433,F,29,3,2,,2,4
AGR_000434,M,58,5,1,,2,15
AGR_000435,M,36,2,1,,2,3
AGR_000436,M,35,1,1,,2,3
AGR_000437,M,22,3,2,,2,3
AGR_000438,M,42,22,2,,2,
AGR_000439,M,25,13,2,,2,15
AGR_000440,M,20,,,,2,
AGR_000441,M,25,15,,,1,
AGR_000442,M,22,7,2,,2,3
AGR_000443,M,34,2,1,,2,1
AGR_000444,M,30,3,1,,2,3
AGR_000445,M,50,2,1,,2,3
AGR_000446,M,45,1,1,,2,15
AGR_000447,F,27,13,1,,2,3
AGR_000448,M,35,9,2,,1,
AGR_000449,M,17,3,1,,2,
AGR_000450,F,40,22,2,,2,3
AGR_000451,M,30,7,2,,2,3
AGR_000452,M,99,21,2,,2,15
AGR_000453,M,30,1,1,,2,3
AGR_000454,F,20,22,2,,2,
AGR_000455,M,60,22,,,2,
AGR_000456,M,33,6,1,,2,3
AGR_000457,M,18,,,10,2,
AGR_000458,M,35,15,2,,2,
AGR_000459,M,30,,,6,2,
AGR_000460,M,2,24,2,,,4
AGR_000461,M,2,25,2,9,2,3
AGR_000462,M,21,23,2,,2,
AGR_000463,M,99,22,2,,2,
AGR_000464,F,34,25,2,6,2,3
AGR_000465,M,39,23,2,,2,1
AGR_000466,M,99,22,2,,2,15
AGR_000467,F,29,10,1,,2,1
AGR_000468,M,40,22,1,,2,3
AGR_000469,M,24,23,2,,2,1
AGR_000470,M,16,3,2,,2,
AGR_000471,M,99,,,6,1,
AGR_000472,M,18,3,2,,2,
